iteration,best_y_norm,best_Ef_eV,candidate_Ef,beta
1,2.206531320214653,-1.607982631528171,-2.498012065887451,2.0
2,2.206531320214653,-1.607982631528171,-2.751413106918335,2.0
3,2.206531320214653,-1.607982631528171,-1.1198774576187134,2.0
4,2.206531320214653,-1.607982631528171,-1.732412576675415,2.0
5,2.206531320214653,-1.607982631528171,-2.7701635360717773,2.0
6,2.206531320214653,-1.607982631528171,-2.7384727001190186,2.0
7,2.206531320214653,-1.607982631528171,-2.125208854675293,2.0
8,2.206531320214653,-1.607982631528171,-1.8559619188308716,2.0
9,2.206531320214653,-1.607982631528171,-2.2995293140411377,2.0
10,2.206531320214653,-1.607982631528171,-2.6843574047088623,2.0
11,2.206531320214653,-1.607982631528171,-2.0573954582214355,2.0
12,2.206531320214653,-1.607982631528171,-2.5199384689331055,2.0
13,2.206531320214653,-1.607982631528171,-2.642141819000244,2.0
14,2.206531320214653,-1.607982631528171,-1.2737892866134644,2.0
15,2.206531320214653,-1.607982631528171,-2.6016147136688232,2.0
16,2.206531320214653,-1.607982631528171,-2.437349796295166,2.0
17,2.206531320214653,-1.607982631528171,-2.804614543914795,2.0
18,2.206531320214653,-1.607982631528171,-2.477229595184326,2.0
19,2.206531320214653,-1.607982631528171,-2.7467269897460938,2.0
20,2.206531320214653,-1.607982631528171,-2.8737573623657227,2.0
21,2.206531320214653,-1.607982631528171,-2.767230272293091,2.0
22,2.206531320214653,-1.607982631528171,-2.645136594772339,2.0
23,2.206531320214653,-1.607982631528171,-2.8873867988586426,2.0
24,2.206531320214653,-1.607982631528171,-2.4631364345550537,2.0
25,2.206531320214653,-1.607982631528171,-2.576840877532959,2.0
26,2.206531320214653,-1.607982631528171,-2.5827207565307617,2.0
27,2.206531320214653,-1.607982631528171,-2.525269031524658,2.0
28,2.206531320214653,-1.607982631528171,-2.7680490016937256,2.0
29,2.206531320214653,-1.607982631528171,-2.7202048301696777,2.0
30,2.206531320214653,-1.607982631528171,-2.80965256690979,2.0
31,2.206531320214653,-1.607982631528171,-2.8567452430725098,2.0
32,2.206531320214653,-1.607982631528171,-2.6416406631469727,2.0
33,2.206531320214653,-1.607982631528171,-2.899752378463745,2.0
34,2.206531320214653,-1.607982631528171,-2.4167494773864746,2.0
35,2.206531320214653,-1.607982631528171,-2.4785513877868652,2.0
36,2.206531320214653,-1.607982631528171,-2.793116331100464,2.0
37,2.206531320214653,-1.607982631528171,-0.6407579183578491,2.0
38,2.206531320214653,-1.607982631528171,-2.8896279335021973,2.0
39,2.206531320214653,-1.607982631528171,-2.84689998626709,2.0
40,2.206531320214653,-1.607982631528171,-2.899132013320923,2.0
41,2.206531320214653,-1.607982631528171,-2.8891429901123047,2.0
42,2.206531320214653,-1.607982631528171,-2.8817975521087646,2.0
43,2.206531320214653,-1.607982631528171,-2.771702527999878,2.0
44,2.206531320214653,-1.607982631528171,-2.880481243133545,2.0
45,2.206531320214653,-1.607982631528171,-2.7866334915161133,2.0
46,2.206531320214653,-1.607982631528171,-2.9039535522460938,2.0
47,2.206531320214653,-1.607982631528171,-2.522235870361328,2.0
48,2.206531320214653,-1.607982631528171,-2.8793773651123047,2.0
49,2.206531320214653,-1.607982631528171,-2.876370668411255,2.0
50,2.206531320214653,-1.607982631528171,-2.88100528717041,2.0
