day,t_days,c_max_mol_m3,c_min_mol_m3,c_mean_mol_m3,c_std_mol_m3,corr_depth_mm
1,1.0,2.01984,0.8,1.122134,0.348526,0.00465
2,2.0,2.558529,0.8,1.421405,0.502437,0.009072
3,3.0,3.058329,0.8,1.699071,0.645237,0.013279
4,4.0,3.521385,0.8,1.956325,0.777539,0.017281
5,5.0,3.949736,0.8,2.194298,0.899925,0.021088
6,6.0,4.345312,0.8,2.414062,1.012946,0.024709
7,7.0,4.709948,0.8,2.616638,1.117128,0.028154
8,8.0,5.045386,0.8,2.802992,1.212967,0.03143
9,9.0,5.353273,0.8,2.974041,1.300935,0.034547
10,10.0,5.635175,0.8,3.130653,1.381479,0.037511
11,11.0,5.892576,0.8,3.273653,1.455022,0.040331
12,12.0,6.126884,0.8,3.403825,1.521967,0.043014
13,13.0,6.339436,0.8,3.521909,1.582696,0.045566
14,14.0,6.531496,0.8,3.628609,1.63757,0.047993
15,15.0,6.704264,0.8,3.724591,1.686933,0.050302
16,16.0,6.858876,0.8,3.810487,1.731107,0.052498
17,17.0,6.996412,0.8,3.886895,1.770403,0.054587
18,18.0,7.117894,0.8,3.954385,1.805113,0.056575
19,19.0,7.224289,0.8,4.013494,1.835511,0.058465
20,20.0,7.316514,0.8,4.06473,1.861861,0.060263
21,21.0,7.395438,0.8,4.108577,1.884411,0.061974
22,22.0,7.461884,0.8,4.145491,1.903395,0.063601
23,23.0,7.516632,0.8,4.175907,1.919038,0.065148
24,24.0,7.560421,0.8,4.200234,1.931549,0.066621
25,25.0,7.593947,0.8,4.21886,1.941128,0.068021
26,26.0,7.617873,0.8,4.232152,1.947964,0.069353
27,27.0,7.632825,0.8,4.240458,1.952236,0.07062
28,28.0,7.639395,0.8,4.244108,1.954113,0.071826
